GRAFO,RODADA,DECISAO,RESULTADO,BANCA,LUCRO_DIA
10_148.txt,1,JOGAR,LOSS,950.00,-50.00
10_148.txt,2,JOGAR,LOSS,900.00,-100.00
10_148.txt,3,JOGAR,LOSS,850.00,-150.00
10_148.txt,4,JOGAR,LOSS,800.00,-200.00
10_148.txt,5,AGUARDAR,N/A,800.00,-200.00
10_148.txt,6,AGUARDAR,N/A,800.00,-200.00
10_148.txt,7,AGUARDAR,N/A,800.00,-200.00
10_148.txt,8,AGUARDAR,N/A,800.00,-200.00
10_148.txt,9,AGUARDAR,N/A,800.00,-200.00
10_148.txt,10,AGUARDAR,N/A,800.00,-200.00
10_148.txt,11,AGUARDAR,N/A,800.00,-200.00
10_148.txt,12,JOGAR,LOSS,750.00,-250.00
10_148.txt,13,AGUARDAR,N/A,750.00,-250.00
10_148.txt,14,AGUARDAR,N/A,750.00,-250.00
10_148.txt,15,AGUARDAR,N/A,750.00,-250.00
10_148.txt,16,AGUARDAR,N/A,750.00,-250.00
10_148.txt,17,AGUARDAR,N/A,750.00,-250.00
10_148.txt,18,JOGAR,LOSS,700.00,-300.00
10_148.txt,19,JOGAR,LOSS,650.00,-350.00
10_148.txt,20,AGUARDAR,N/A,650.00,-350.00
10_148.txt,21,JOGAR,LOSS,600.00,-400.00
10_148.txt,22,JOGAR,LOSS,550.00,-450.00
10_148.txt,23,AGUARDAR,N/A,550.00,-450.00
10_148.txt,24,JOGAR,LOSS,500.00,-500.00
11_142.txt,1,JOGAR,WIN,1450.00,450.00
11_142.txt,2,AGUARDAR,N/A,1450.00,450.00
11_142.txt,3,AGUARDAR,N/A,1450.00,450.00
11_142.txt,4,JOGAR,LOSS,1400.00,400.00
11_142.txt,5,AGUARDAR,N/A,1400.00,400.00
11_142.txt,6,JOGAR,LOSS,1350.00,350.00
11_142.txt,7,JOGAR,LOSS,1300.00,300.00
11_142.txt,8,JOGAR,WIN,1750.00,750.00
12_171.txt,1,JOGAR,LOSS,950.00,-50.00
12_171.txt,2,JOGAR,LOSS,900.00,-100.00
12_171.txt,3,JOGAR,LOSS,850.00,-150.00
12_171.txt,4,JOGAR,LOSS,800.00,-200.00
12_171.txt,5,AGUARDAR,N/A,800.00,-200.00
12_171.txt,6,AGUARDAR,N/A,800.00,-200.00
12_171.txt,7,AGUARDAR,N/A,800.00,-200.00
12_171.txt,8,JOGAR,WIN,1250.00,250.00
12_171.txt,9,AGUARDAR,N/A,1250.00,250.00
12_171.txt,10,JOGAR,WIN,1700.00,700.00
13_164.txt,1,JOGAR,LOSS,950.00,-50.00
13_164.txt,2,AGUARDAR,N/A,950.00,-50.00
13_164.txt,3,JOGAR,LOSS,900.00,-100.00
13_164.txt,4,AGUARDAR,N/A,900.00,-100.00
13_164.txt,5,JOGAR,LOSS,850.00,-150.00
13_164.txt,6,AGUARDAR,N/A,850.00,-150.00
13_164.txt,7,JOGAR,LOSS,800.00,-200.00
13_164.txt,8,JOGAR,LOSS,750.00,-250.00
13_164.txt,9,JOGAR,WIN,1200.00,200.00
13_164.txt,10,AGUARDAR,N/A,1200.00,200.00
13_164.txt,11,JOGAR,LOSS,1150.00,150.00
13_164.txt,12,AGUARDAR,N/A,1150.00,150.00
13_164.txt,13,AGUARDAR,N/A,1150.00,150.00
13_164.txt,14,AGUARDAR,N/A,1150.00,150.00
13_164.txt,15,AGUARDAR,N/A,1150.00,150.00
13_164.txt,16,AGUARDAR,N/A,1150.00,150.00
13_164.txt,17,JOGAR,LOSS,1100.00,100.00
13_164.txt,18,AGUARDAR,N/A,1100.00,100.00
13_164.txt,19,AGUARDAR,N/A,1100.00,100.00
13_164.txt,20,AGUARDAR,N/A,1100.00,100.00
13_164.txt,21,AGUARDAR,N/A,1100.00,100.00
13_164.txt,22,AGUARDAR,N/A,1100.00,100.00
13_164.txt,23,JOGAR,LOSS,1050.00,50.00
13_164.txt,24,JOGAR,LOSS,1000.00,0.00
13_164.txt,25,AGUARDAR,N/A,1000.00,0.00
13_164.txt,26,JOGAR,LOSS,950.00,-50.00
13_164.txt,27,AGUARDAR,N/A,950.00,-50.00
13_164.txt,28,AGUARDAR,N/A,950.00,-50.00
13_164.txt,29,AGUARDAR,N/A,950.00,-50.00
13_164.txt,30,AGUARDAR,N/A,950.00,-50.00
13_164.txt,31,JOGAR,LOSS,900.00,-100.00
13_164.txt,32,JOGAR,LOSS,850.00,-150.00
13_164.txt,33,JOGAR,LOSS,800.00,-200.00
13_164.txt,34,JOGAR,LOSS,750.00,-250.00
13_164.txt,35,JOGAR,LOSS,700.00,-300.00
13_164.txt,36,AGUARDAR,N/A,700.00,-300.00
13_164.txt,37,AGUARDAR,N/A,700.00,-300.00
13_164.txt,38,JOGAR,LOSS,650.00,-350.00
13_164.txt,39,AGUARDAR,N/A,650.00,-350.00
13_164.txt,40,JOGAR,LOSS,600.00,-400.00
13_164.txt,41,JOGAR,WIN,1050.00,50.00
13_164.txt,42,AGUARDAR,N/A,1050.00,50.00
13_164.txt,43,JOGAR,LOSS,1000.00,0.00
13_164.txt,44,AGUARDAR,N/A,1000.00,0.00
13_164.txt,45,JOGAR,LOSS,950.00,-50.00
13_164.txt,46,AGUARDAR,N/A,950.00,-50.00
13_164.txt,47,AGUARDAR,N/A,950.00,-50.00
13_164.txt,48,JOGAR,LOSS,900.00,-100.00
13_164.txt,49,JOGAR,WIN,1350.00,350.00
13_164.txt,50,AGUARDAR,N/A,1350.00,350.00
13_164.txt,51,AGUARDAR,N/A,1350.00,350.00
13_164.txt,52,AGUARDAR,N/A,1350.00,350.00
13_164.txt,53,AGUARDAR,N/A,1350.00,350.00
13_164.txt,54,AGUARDAR,N/A,1350.00,350.00
13_164.txt,55,JOGAR,LOSS,1300.00,300.00
13_164.txt,56,JOGAR,LOSS,1250.00,250.00
13_164.txt,57,JOGAR,LOSS,1200.00,200.00
13_164.txt,58,JOGAR,WIN,1650.00,650.00
14_160.txt,1,JOGAR,WIN,1450.00,450.00
